,CarName,price
0,alfa-romero giulia,13495.0
1,alfa-romero stelvio,16500.0
2,alfa-romero Quadrifoglio,16500.0
3,audi 100 ls,13950.0
4,audi 100ls,17450.0
5,audi fox,15250.0
6,audi 100ls,17710.0
7,audi 5000,18920.0
8,audi 4000,23875.0
9,audi 5000s (diesel),17859.167
10,bmw 320i,16430.0
11,bmw 320i,16925.0
12,bmw x1,20970.0
13,bmw x3,21105.0
14,bmw z4,24565.0
15,bmw x4,30760.0
16,bmw x5,41315.0
17,bmw x3,36880.0
18,chevrolet impala,5151.0
19,chevrolet monte carlo,6295.0
20,chevrolet vega 2300,6575.0
21,dodge rampage,5572.0
22,dodge challenger se,6377.0
23,dodge d200,7957.0
24,dodge monaco (sw),6229.0
25,dodge colt hardtop,6692.0
26,dodge colt (sw),7609.0
27,dodge coronet custom,8558.0
28,dodge dart custom,8921.0
29,dodge coronet custom (sw),12964.0
30,honda civic,6479.0
31,honda civic cvcc,6855.0
32,honda civic,5399.0
33,honda accord cvcc,6529.0
34,honda civic cvcc,7129.0
35,honda accord lx,7295.0
36,honda civic 1500 gl,7295.0
37,honda accord,7895.0
38,honda civic 1300,9095.0
39,honda prelude,8845.0
40,honda accord,10295.0
41,honda civic,12945.0
42,honda civic (auto),10345.0
43,isuzu MU-X,6785.0
44,isuzu D-Max ,8916.5
45,isuzu D-Max V-Cross,8916.5
46,isuzu D-Max ,11048.0
47,jaguar xj,32250.0
48,jaguar xf,35550.0
49,jaguar xk,36000.0
50,maxda rx3,5195.0
51,maxda glc deluxe,6095.0
52,mazda rx2 coupe,6795.0
53,mazda rx-4,6695.0
54,mazda glc deluxe,7395.0
55,mazda 626,10945.0
56,mazda glc,11845.0
57,mazda rx-7 gs,13645.0
58,mazda glc 4,15645.0
59,mazda 626,8845.0
60,mazda glc custom l,8495.0
61,mazda glc custom,10595.0
62,mazda rx-4,10245.0
63,mazda glc deluxe,10795.0
64,mazda 626,11245.0
65,mazda glc,18280.0
66,mazda rx-7 gs,18344.0
67,buick electra 225 custom,25552.0
68,buick century luxus (sw),28248.0
69,buick century,28176.0
70,buick skyhawk,31600.0
71,buick opel isuzu deluxe,34184.0
72,buick skylark,35056.0
73,buick century special,40960.0
74,buick regal sport coupe (turbo),45400.0
75,mercury cougar,16503.0
76,mitsubishi mirage,5389.0
77,mitsubishi lancer,6189.0
78,mitsubishi outlander,6669.0
79,mitsubishi g4,7689.0
80,mitsubishi mirage g4,9959.0
81,mitsubishi g4,8499.0
82,mitsubishi outlander,12629.0
83,mitsubishi g4,14869.0
84,mitsubishi mirage g4,14489.0
85,mitsubishi montero,6989.0
86,mitsubishi pajero,8189.0
87,mitsubishi outlander,9279.0
88,mitsubishi mirage g4,9279.0
89,Nissan versa,5499.0
90,nissan gt-r,7099.0
91,nissan rogue,6649.0
92,nissan latio,6849.0
93,nissan titan,7349.0
94,nissan leaf,7299.0
95,nissan juke,7799.0
96,nissan latio,7499.0
97,nissan note,7999.0
98,nissan clipper,8249.0
99,nissan rogue,8949.0
100,nissan nv200,9549.0
101,nissan dayz,13499.0
102,nissan fuga,14399.0
103,nissan otti,13499.0
104,nissan teana,17199.0
105,nissan kicks,19699.0
106,nissan clipper,18399.0
107,peugeot 504,11900.0
108,peugeot 304,13200.0
109,peugeot 504 (sw),12440.0
110,peugeot 504,13860.0
111,peugeot 504,15580.0
112,peugeot 604sl,16900.0
113,peugeot 504,16695.0
114,peugeot 505s turbo diesel,17075.0
115,peugeot 504,16630.0
116,peugeot 504,17950.0
117,peugeot 604sl,18150.0
118,plymouth fury iii,5572.0
119,plymouth cricket,7957.0
120,plymouth fury iii,6229.0
121,plymouth satellite custom (sw),6692.0
122,plymouth fury gran sedan,7609.0
123,plymouth valiant,8921.0
124,plymouth duster,12764.0
125,porsche macan,22018.0
126,porcshce panamera,32528.0
127,porsche cayenne,34028.0
128,porsche boxter,37028.0
129,porsche cayenne,31400.5
130,renault 12tl,9295.0
131,renault 5 gtl,9895.0
132,saab 99e,11850.0
133,saab 99le,12170.0
134,saab 99le,15040.0
135,saab 99gle,15510.0
136,saab 99gle,18150.0
137,saab 99e,18620.0
138,subaru,5118.0
139,subaru dl,7053.0
140,subaru dl,7603.0
141,subaru,7126.0
142,subaru brz,7775.0
143,subaru baja,9960.0
144,subaru r1,9233.0
145,subaru r2,11259.0
146,subaru trezia,7463.0
147,subaru tribeca,10198.0
148,subaru dl,8013.0
149,subaru dl,11694.0
150,toyota corona mark ii,5348.0
151,toyota corona,6338.0
152,toyota corolla 1200,6488.0
153,toyota corona hardtop,6918.0
154,toyota corolla 1600 (sw),7898.0
155,toyota carina,8778.0
156,toyota mark ii,6938.0
157,toyota corolla 1200,7198.0
158,toyota corona,7898.0
159,toyota corolla,7788.0
160,toyota corona,7738.0
161,toyota corolla,8358.0
162,toyota mark ii,9258.0
163,toyota corolla liftback,8058.0
164,toyota corona,8238.0
165,toyota celica gt liftback,9298.0
166,toyota corolla tercel,9538.0
167,toyota corona liftback,8449.0
168,toyota corolla,9639.0
169,toyota starlet,9989.0
170,toyota tercel,11199.0
171,toyota corolla,11549.0
172,toyota cressida,17669.0
173,toyota corolla,8948.0
174,toyota celica gt,10698.0
175,toyota corona,9988.0
176,toyota corolla,10898.0
177,toyota mark ii,11248.0
178,toyota corolla liftback,16558.0
179,toyota corona,15998.0
180,toyota starlet,15690.0
181,toyouta tercel,15750.0
182,vokswagen rabbit,7775.0
183,volkswagen 1131 deluxe sedan,7975.0
184,volkswagen model 111,7995.0
185,volkswagen type 3,8195.0
186,volkswagen 411 (sw),8495.0
187,volkswagen super beetle,9495.0
188,volkswagen dasher,9995.0
189,vw dasher,11595.0
190,vw rabbit,9980.0
191,volkswagen rabbit,13295.0
192,volkswagen rabbit custom,13845.0
193,volkswagen dasher,12290.0
194,volvo 145e (sw),12940.0
195,volvo 144ea,13415.0
196,volvo 244dl,15985.0
197,volvo 245,16515.0
198,volvo 264gl,18420.0
199,volvo diesel,18950.0
200,volvo 145e (sw),16845.0
201,volvo 144ea,19045.0
202,volvo 244dl,21485.0
203,volvo 246,22470.0
204,volvo 264gl,22625.0
